Running seek with root {-3,5,8,8,} and ceiling 2147483647
Time: Sat Apr 18 20:07:58 2015

In seek
Running fuchsian
61632780468th iteration: 7131581013 6883099077 3042941112 772712868
61847528832th iteration: 1671521909 162275189 1615853900 747936272
62062277196th iteration: 4853456525 4987755893 2695037828 271207544
62277025560th iteration: 2718080165 90379877 1571350016 2415555932
62491773924th iteration: 18405573 4903734693 4321026852 6162026712
62706522288th iteration: 6529390877 6270009893 2884923008 647533352
62921270652th iteration: 747573173 4277353493 1448504612 4315522052
63136019016th iteration: 2965299213 501269973 6244990080 5909153244
63350767380th iteration: 480455925 325403133 543022788 14292564
63565515744th iteration: 3520067837 785741 4964830100 4085347112
63780264108th iteration: 2095277093 45416621 1832300984 1285983152
63995012472th iteration: 7190010629 2434748837 7231962920 1251823184
64209760836th iteration: 312206061 25043805 148194696 295090608
64424509200th iteration: 5366155421 287564981 3091484900 5712706868
64639257564th iteration: 159140477 3138451805 1702389356 2975290172
64854005928th iteration: 5848453773 5778997533 2045993604 947820600
65068754292th iteration: 425927133 4284493773 1892686860 4119946524
65283502656th iteration: 7078767797 979407893 2766727688 7153633652
65498251020th iteration: 13901 1009330181 1324734404 1425457304
65712999384th iteration: 1487618981 1675664789 6320984504 6322826816
65927747748th iteration: 4112124189 101881437 2482403268 3615256356
66142496112th iteration: 56798237 2733533741 1998689288 3189720884
66357244476th iteration: 370579037 17845805 225698144 409305944
66571992840th iteration: 242150357 4558868381 2472954800 4420948172
66786741204th iteration: 1202491349 1887046301 29183732 1671756068
67001489568th iteration: 4755627149 95489237 3501929180 5567540864
67216237932th iteration: 3213234573 267665397 5854767828 5390615172
67430986296th iteration: 664145565 3534320589 3555166452 1134283764
67645734660th iteration: 4256091837 2925047637 3969161316 20152500
67860483024th iteration: 3829750853 4647561197 36516872 3111006548
68075231388th iteration: 162535301 3250485173 1760907080 3049703216
68289979752th iteration: 4417901669 3964015565 5542407848 2961728
68504728116th iteration: 1054545197 561898325 1014520316 59186972
68719476480th iteration: 7914034061 7916590133 1857239300 2103612536
68934224844th iteration: 1624483485 4024437 1131677964 1334103984
69148973208th iteration: 1001777669 2110482389 169295732 1994784680
69363721572th iteration: 533188469 2743594205 5698159544 5980044452
69578469936th iteration: 104939717 3089858717 5018931668 4334074628
69793218300th iteration: 2887829405 3154377341 141263552 1735573112
70007966664th iteration: 925301381 2560959005 2533166372 394550552
70222715028th iteration: 1057896077 1181845037 831486728 115988
70437463392th iteration: 3519252021 4521008901 14880 4992848028
70652211756th iteration: 893233445 1637298869 106745528 1733958848
70866960120th iteration: 2778747933 1386940197 2936613828 239368212
71081708484th iteration: 3383378541 5902869 4518904224 4801598076
71296456848th iteration: 37449029 463570181 770400404 841366676
71511205212th iteration: 94362333 480116733 1002596520 1048087824
