Running seek with root {-2,3,6,7,} and ceiling 1000000000
Time: Sun Apr 19 14:39:47 2015

In seek
Running fuchsian
21100000000th iteration: 134991150 1494117123 691472238 1457715879
21200000000th iteration: 2066878822 1458486931 298 1746066799
21300000000th iteration: 3079564402 370610683 1291763338 3110200807
21400000000th iteration: 2133526 517722211 356777014 422586559
21500000000th iteration: 1907660898 1704946275 637578 2382973959
21600000000th iteration: 2647935690 142359291 1508967366 2782957983
21700000000th iteration: 2713440430 149537371 1588926718 2967844711
21800000000th iteration: 539947386 29628075 531448722 292957407
21900000000th iteration: 195753994 91 181466566 250111639
22000000000th iteration: 186566322 2047171083 985390878 2121682647
22100000000th iteration: 1958939502 3508755 1389271326 1553904927
22200000000th iteration: 1642854 1863559275 2393293962 1730822079
22300000000th iteration: 19852518 2435468115 2223614154 1630344903
22400000000th iteration: 541953582 1264095987 1295248578 148797783
22500000000th iteration: 1739923294 42168067 2365921006 2736105583
22600000000th iteration: 615816838 287399635 630274966 59317831
22700000000th iteration: 1076505846 938818443 649354746 26599935
22800000000th iteration: 339950602 733442995 72827302 755661991
22900000000th iteration: 253564278 1560123 313625562 215326167
23000000000th iteration: 123668046 106140699 86976606 21159
23100000000th iteration: 642974298 1260865731 80587074 1191721647
23200000000th iteration: 821862922 1053824539 517894 1170296575
23300000000th iteration: 485629666 579294499 710793274 3789871
23400000000th iteration: 3555781650 1133725707 664903674 3535111839
23500000000th iteration: 2272563754 2241634363 351378706 817563127
23600000000th iteration: 1096822834 310953931 2576419546 2655201199
23700000000th iteration: 1843034962 712790851 1822092382 252032095
23800000000th iteration: 1368080586 507561771 1344687858 199950615
23900000000th iteration: 2269211754 1901363235 1476057702 26827239
24000000000th iteration: 161143738 2354670859 2531747650 1283247943
24100000000th iteration: 149885166 2467906059 2676443214 1400017551
24200000000th iteration: 163381446 112087515 715338 149762871
24300000000th iteration: 722774046 8115555 1074573042 985976247
24400000000th iteration: 264810550 273249859 1402 358383319
24500000000th iteration: 1170696586 2784829507 2809312870 332991727
24600000000th iteration: 800650 243327619 320077798 350050543
24700000000th iteration: 2240192394 2553303051 17478 1796070927
24800000000th iteration: 17734002 24757827 441258 27879183
24900000000th iteration: 1978216006 22687627 1654732522 1289904535
25000000000th iteration: 1002070326 2216151051 237210870 2301107223
25100000000th iteration: 1133987182 2963430547 430306078 3015306463
25200000000th iteration: 2118960442 2299006123 2930819158 708847
25300000000th iteration: 319192818 888555099 2289690570 2305146423
25400000000th iteration: 2083250626 14608267 2564236234 1748683423
25500000000th iteration: 924732586 1310358931 1080633670 873343
25600000000th iteration: 1774699794 2123155059 2607498762 15344655
25700000000th iteration: 497388882 904521243 40568874 827474151
25800000000th iteration: 245128218 1915387491 1868117970 759837351
25900000000th iteration: 1707322266 1122680499 17377206 1428583119
26000000000th iteration: 1613988162 59835 1159876746 1285216047
26100000000th iteration: 2727234298 1251257251 2839769590 283549591
26200000000th iteration: 2217850054 1628568715 2258301418 8023
26300000000th iteration: 26025654 513453963 276728250 479512023
26400000000th iteration: 1273503330 1577947179 4101678 1838037303
26500000000th iteration: 1736040790 37939 1389490294 1244811007
26600000000th iteration: 2733364498 1313906059 251564026 2841078367
26700000000th iteration: 735937830 11464227 528382602 820290351
26800000000th iteration: 513647290 802579 665144758 734116063
26900000000th iteration: 1648182018 2202420459 2593788558 40094175
27000000000th iteration: 1213297206 34241163 1935151386 1655189415
27100000000th iteration: 410021394 444625539 24012702 234757095
27200000000th iteration: 2764066234 1857123835 20342722 2274642439
27300000000th iteration: 1641851034 2552087979 34436022 2151844935
27400000000th iteration: 968718846 1309935171 1533189918 25147095
27500000000th iteration: 1963743430 1654459147 1325623222 12141391
27600000000th iteration: 228089346 21123 269204586 322623015
27700000000th iteration: 2467821966 2559821835 1819251102 2861607
27800000000th iteration: 509950614 3109194651 1094900538 3126785847
27900000000th iteration: 15390466 364595995 202495822 330513607
28000000000th iteration: 1648681666 1146428467 1549913050 5334607
28100000000th iteration: 258816522 1210807611 2688996402 2611606455
28200000000th iteration: 771015294 808155 567578622 797091759
28300000000th iteration: 874267390 2368539331 2331386386 349856623
28400000000th iteration: 135703222 1390678507 646666486 1426036375
28500000000th iteration: 224615062 2264777227 1061652310 2364801991
28600000000th iteration: 2949493366 3019616635 375337846 1216961383
28700000000th iteration: 1684449058 133077499 3054311770 2765350663
28800000000th iteration: 1241022 1486372971 1738503282 1218278535
28900000000th iteration: 1839764010 596334387 340721922 1849278471
29000000000th iteration: 1057217998 1886820931 105552190 1964062111
29100000000th iteration: 2024973306 1133434083 1822573494 81452367
29200000000th iteration: 2311112646 89640459 2076735402 1302350943
29300000000th iteration: 281656234 2880256555 2790068242 1286612599
29400000000th iteration: 214376506 972788587 2182655062 2112639535
29500000000th iteration: 184225614 2605120659 1391568702 2766570495
29600000000th iteration: 1389065218 1762323763 17242 1973491807
29700000000th iteration: 906237598 906246499 229968622 223173631
29800000000th iteration: 1561544614 1236366283 2182 1125729271
29900000000th iteration: 2881147246 663221131 2882579278 779671615
30000000000th iteration: 3158518914 1280834331 3072155406 385542159
30100000000th iteration: 1870539898 1601809459 5155378 1291429975
30200000000th iteration: 655879474 3969163 769941310 950187343
30300000000th iteration: 2179964166 431806179 666647382 2171521623
30400000000th iteration: 236374698 1136202939 1138290210 335879343
30500000000th iteration: 492934558 395352139 1848850 342530863
30600000000th iteration: 2497550422 1517592643 2170968694 58260991
30700000000th iteration: 7328218 2695810363 2463568114 1868406415
30800000000th iteration: 248574 2075423259 2797847250 2121099087
30900000000th iteration: 1920778974 369896451 1929392466 604594599
31000000000th iteration: 836865634 35079979 1228576282 1388515975
31100000000th iteration: 256775586 1542398451 1555963578 539385855
31200000000th iteration: 388102426 831777427 78191890 840300967
31300000000th iteration: 2402925642 2685085347 295398 1888899183
31400000000th iteration: 3145684026 431860707 3215292642 1246224015
31500000000th iteration: 2428331934 7291035 1702528974 1932702327
31600000000th iteration: 1245526 1649788123 2122634266 2349787855
31700000000th iteration: 20826450 1501278531 967604478 1346729271
31800000000th iteration: 1073948790 363756003 185128806 1071943671
31900000000th iteration: 474841498 37354315 860488534 778600063
32000000000th iteration: 2672219926 147106315 1403202262 2460338887
32100000000th iteration: 3319877314 3300497107 1158675994 544099615
32200000000th iteration: 4762926 1086071379 1551276834 1237314471
32300000000th iteration: 1687777854 30620955 1951432302 1238870919
32400000000th iteration: 512338 1541798131 1098483166 1245254095
32500000000th iteration: 13811070 668419707 781532754 490068399
32600000000th iteration: 3395998 89802043 128150110 147545359
32700000000th iteration: 2484552138 3003 2199518694 1748057775
32800000000th iteration: 2319918694 1836977107 23939494 2766074575
32900000000th iteration: 703131814 3183622627 894426250 3187452439
33000000000th iteration: 10644790 2256823843 2816483866 1957335871
33100000000th iteration: 319287838 1199595499 2846550046 2761466767
33200000000th iteration: 1466876362 1243056187 108166 1758152575
33300000000th iteration: 323165526 258249363 367832922 101439
33400000000th iteration: 316602654 2823511371 1187798094 2730883191
33500000000th iteration: 933814 841127395 591611962 693311959
33600000000th iteration: 2682816934 2202538003 1805379430 19321423
33700000000th iteration: 2147189422 1542149347 295138 2092663063
33800000000th iteration: 1271348314 569534923 139027798 1319937055
33900000000th iteration: 607770946 599232259 94264618 218159527
34000000000th iteration: 1945598098 1067777179 119010910 2030935903
34100000000th iteration: 3168925518 3109095147 431134302 1222212903
34200000000th iteration: 101665974 1174456563 1983800442 2155158471
34300000000th iteration: 10839946 2095112659 1767549202 2566851343
34400000000th iteration: 565641246 4131363 672949074 454528167
34500000000th iteration: 1815345118 2589084907 66189682 2969135863
34600000000th iteration: 1588411926 1993067907 22928118 2402911599
34700000000th iteration: 7630 2319328411 1969673698 2783715031
34800000000th iteration: 1473560206 154714195 2805619138 2587544191
34900000000th iteration: 1504984642 2149200427 2439180538 51035863
35000000000th iteration: 3135844050 373661883 3090190074 1298070303
35100000000th iteration: 880412538 381283635 909748086 102926271
35200000000th iteration: 12500746 330403027 471439762 542894575
35300000000th iteration: 110422 1517800267 1113108538 1543206343
35400000000th iteration: 690165898 844790683 601015282 8167
35500000000th iteration: 203561118 211447347 22094898 91523967
35600000000th iteration: 2687175558 2150093019 110538 1926760095
35700000000th iteration: 2227740366 1599907251 319074 2171049519
35800000000th iteration: 3349967278 1276250923 468307810 3298578079
35900000000th iteration: 904542954 3342311835 769004178 3342715623
36000000000th iteration: 2490108390 2454982827 380774922 901517271
36100000000th iteration: 294695458 1111463203 2637962314 2550787735
36200000000th iteration: 1311034546 1956184291 1622898490 14707543
36300000000th iteration: 1413542710 714957019 117878662 1497465439
36400000000th iteration: 969769750 232987 939864826 1273239127
36500000000th iteration: 438197038 126844147 1045789342 1059844303
36600000000th iteration: 810018870 443620707 2466279546 2457221967
36700000000th iteration: 133492842 118133931 78103458 4111119
36800000000th iteration: 2323706250 35591883 1479192834 2022800223
36900000000th iteration: 1615330738 1962400219 19870 2293313383
37000000000th iteration: 2606186142 1315400571 218312670 2759012127
37100000000th iteration: 693325758 1439263083 1492439154 131035215
37200000000th iteration: 2239260042 1723512819 2664317010 33704799
37300000000th iteration: 1358305506 44018931 1543547214 913170159
37400000000th iteration: 2583596070 1019049939 334678134 2521770327
37500000000th iteration: 47793910 2099307283 2371866874 1470880543
37600000000th iteration: 2178257226 1760373699 133794 1555082871
37700000000th iteration: 14976262 629346211 843819082 988542055
37800000000th iteration: 14313258 500622843 345002274 572664735
37900000000th iteration: 1289359726 2764994635 264752638 2818203031
38000000000th iteration: 1254442890 1468886787 22230882 935246151
38100000000th iteration: 981163866 1198808571 1393596150 543
38200000000th iteration: 1746374278 316608955 1734153574 568804903
38300000000th iteration: 2576433454 2283816019 1510844290 78398167
38400000000th iteration: 2250087198 2364285555 1087529406 208988871
38500000000th iteration: 38473494 1071666411 1749627366 1526903919
38600000000th iteration: 6812110 1884626707 1508089726 1312090447
38700000000th iteration: 2908099174 1355722603 2786042986 250365487
38800000000th iteration: 1112421558 812076579 21139110 1284903063
38900000000th iteration: 138287446 2551723651 1500521434 2791656559
39000000000th iteration: 1938211114 129214291 1050377842 2051622703
39100000000th iteration: 188459326 2148311467 2267194930 1064141287
39200000000th iteration: 77199762 1274299131 1327284318 699979839
39300000000th iteration: 1301826466 1471072243 875567290 40575871
39400000000th iteration: 1383247234 1590953611 34389514 976129951
39500000000th iteration: 2509227118 2221155763 1479770722 73551967
39600000000th iteration: 1058515038 1275023475 12373758 841812519
39700000000th iteration: 2368547466 1863696579 1693426146 3094119
39800000000th iteration: 1171272654 2278610091 2111269998 137203407
39900000000th iteration: 2552278930 113695651 2331527002 1404876007
40000000000th iteration: 54036426 1539551283 2503469154 2211907287
40100000000th iteration: 2936997586 959148475 530871166 2918339503
40200000000th iteration: 71438202 728566515 1297488162 1347407631
40300000000th iteration: 1894770654 2612042019 43031922 2958608175
40400000000th iteration: 1993958866 2467340395 24895978 2989361431
40500000000th iteration: 676920622 1443148699 1476683134 137155975
40600000000th iteration: 972950094 1209187035 1805598 1395586263
40700000000th iteration: 1749289954 6201643 1540516942 2195195311
40800000000th iteration: 1277897478 595947 1079611302 1531005303
40900000000th iteration: 4201986 1383347595 953434362 1180406247
41000000000th iteration: 864080674 1451458771 39580042 1273527463
41100000000th iteration: 2013315234 4729611 2114484654 1485558111
41200000000th iteration: 878325330 86701419 407411514 903096207
41300000000th iteration: 2777636470 2651138323 230614 1980423103
41400000000th iteration: 2199268570 2188777819 2925302002 79
41500000000th iteration: 279163210 246898987 178188466 4227847
41600000000th iteration: 2690748694 27612979 2254146310 1768170247
41700000000th iteration: 483196366 561278467 9946750 351951727
41800000000th iteration: 1833893902 2575952827 46468738 2885239303
41900000000th iteration: 1457414406 701619 1064565258 1121071767
42000000000th iteration: 112392654 1156688739 1990389246 2172771951
42100000000th iteration: 1803432526 759012571 202969954 1750198039
42200000000th iteration: 418166790 2260281147 727690794 2252257839
42300000000th iteration: 470843242 3172489027 1168649986 3125920855
42400000000th iteration: 2330619742 1893195331 1661502610 7
42500000000th iteration: 1959089122 1807721419 102558250 1042672639
42600000000th iteration: 849898726 1186181731 927786358 1693015
42700000000th iteration: 2458585366 2046113443 23128630 1625969791
42800000000th iteration: 492765198 398716899 2386878 338570415
42900000000th iteration: 1453327014 1667965971 40587882 1008113583
43000000000th iteration: 2543748426 1058542587 2504415558 299378079
43100000000th iteration: 2200494742 2102954395 1565694934 1018759
43200000000th iteration: 1950287038 178051 1918362130 1406614711
43300000000th iteration: 55559202 10314867 119576586 114010455
43400000000th iteration: 2166578814 1830831219 30123486 1390139991
43500000000th iteration: 135967578 1027791891 1004488386 401306415
43600000000th iteration: 565717222 1794509107 342358966 1791371095
43700000000th iteration: 784976586 1608195843 1691497554 145786767
43800000000th iteration: 133619926 152090779 3239866 93600919
43900000000th iteration: 79485114 876712779 427912002 922118535
44000000000th iteration: 240071286 1261744563 1267838394 400861407
44100000000th iteration: 254083990 614101459 628181254 77607127
44200000000th iteration: 245681026 510273259 47775406 535634599
44300000000th iteration: 30824706 1692496131 1987468698 1262505135
44400000000th iteration: 2795617594 160234723 2874907618 1543260175
44500000000th iteration: 1891252110 354893019 1880551938 601536423
44600000000th iteration: 175063650 1714283427 749879994 1652349999
CURVELIST num_items: 333329371
Time: Sun Apr 19 19:16:30 2015

Running genealogy
Time: Sun Apr 19 19:16:30 2015

Running valuesOf
Time: Sun Apr 19 19:16:30 2015

Running path
Time: Sun Apr 19 19:17:37 2015

Running compare

