nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015

In seek
Running fuchsian
33600000000th iteration: 826407160 148569364 1764872737 1679224609
33700000000th iteration: 342237996 208512288 7818417 297393249
33800000000th iteration: 1062796728 1567469136 8650041 1322912865
33900000000th iteration: 2852076436 914891032 2867562505 535991137
34000000000th iteration: 2028946240 1813246168 1307516113 27977089
34100000000th iteration: 1156365244 108725680 2145011713 2004487873
34200000000th iteration: 37805296 2112616216 1576136353 2477398105
34300000000th iteration: 3772191504 851000220 3773472417 1039333689
34400000000th iteration: 1235545272 1327381200 723635049 63687249
34500000000th iteration: 2185600 91404364 127954393 143068633
34600000000th iteration: 2556444 665110380 461860233 533365833
34700000000th iteration: 787662532 805399108 578202913 342817
34800000000th iteration: 55918768 1015574104 1548112825 1746396193
34900000000th iteration: 1648635268 1160177140 24049 1425279433
35000000000th iteration: 321772468 372228856 1386723337 1386221089
35100000000th iteration: 930144540 1230815184 1137 916449609
35200000000th iteration: 1175142412 220820992 377086681 1181856625
35300000000th iteration: 246449968 484081180 1428326401 1427792521
35400000000th iteration: 363683364 813390804 2294532825 2264949537
35500000000th iteration: 2152106332 784 2124046609 1555421545
35600000000th iteration: 129628084 2608430488 2455174753 1417073665
35700000000th iteration: 2041790668 1982024428 840140185 241218529
35800000000th iteration: 521646552 259584 554195193 716232921
35900000000th iteration: 1023739252 1790189380 1946857417 106388641
36000000000th iteration: 1164361576 2014444420 2146681273 106816561
36100000000th iteration: 163343932 2546393356 2751684577 1419249745
36200000000th iteration: 1811425984 835041112 186687841 1888722913
36300000000th iteration: 1906463388 956414364 161822001 2014622697
36400000000th iteration: 1119181704 1197087360 645859089 60523017
36500000000th iteration: 474935976 1013766948 85352025 965561481
36600000000th iteration: 814261848 443636820 37712553 740043969
36700000000th iteration: 212437584 45435384 455297025 474150537
36800000000th iteration: 2264914156 508258144 2267000689 627328801
36900000000th iteration: 2043750672 2240230536 1229352417 101001585
37000000000th iteration: 2301576280 2150284288 1585301641 10263721
37100000000th iteration: 357643300 330913636 184227793 21325441
37200000000th iteration: 1868063076 524595876 1865805153 411716625
37300000000th iteration: 3313327828 3262920760 449702329 1282989673
37400000000th iteration: 409320288 198363240 426013353 36960609
37500000000th iteration: 1379387148 1987615932 4106529 1697037441
37600000000th iteration: 2782884868 1118142664 2709686737 346547881
37700000000th iteration: 5216296 194124388 223358785 135697561
37800000000th iteration: 1833594048 216 2454728529 1848730257
37900000000th iteration: 1461362820 1284122088 40306281 868714881
38000000000th iteration: 213793824 1404261516 520265577 1420536633
38100000000th iteration: 3146315392 3145766152 746809921 827063545
38200000000th iteration: 808245984 1147665336 979315041 83649
